old_canvas_id,new_canvas_id
http://manifests.ydc2.yale.edu/canvas/KIYN-04-18-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17926
http://manifests.ydc2.yale.edu/canvas/KIYN-04-19-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17931
http://manifests.ydc2.yale.edu/canvas/KIYN-04-21-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17941
http://manifests.ydc2.yale.edu/canvas/KIYN-04-22-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17946
http://manifests.ydc2.yale.edu/canvas/KIYN-04-23-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17951
http://manifests.ydc2.yale.edu/canvas/KIYN-04-24-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17956
http://manifests.ydc2.yale.edu/canvas/KIYN-04-25-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17961
http://manifests.ydc2.yale.edu/canvas/KIYN-04-28-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17976
http://manifests.ydc2.yale.edu/canvas/KIYN-04-31-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17991
http://manifests.ydc2.yale.edu/canvas/KIYN-04-34-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18006
http://manifests.ydc2.yale.edu/canvas/KIYN-04-35-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18011
http://manifests.ydc2.yale.edu/canvas/KIYN-04-36-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18016
http://manifests.ydc2.yale.edu/canvas/KIYN-04-37-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18021
http://manifests.ydc2.yale.edu/canvas/KIYN-04-39-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18031
http://manifests.ydc2.yale.edu/canvas/KIYN-04-41-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18041
http://manifests.ydc2.yale.edu/canvas/KIYN-04-42-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18046
http://manifests.ydc2.yale.edu/canvas/KIYN-04-43-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18051
http://manifests.ydc2.yale.edu/canvas/KIYN-04-44-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18056
http://manifests.ydc2.yale.edu/canvas/KIYN-04-45-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18061
http://manifests.ydc2.yale.edu/canvas/KIYN-04-47-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18071
http://manifests.ydc2.yale.edu/canvas/KIYN-04-48-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18076
http://manifests.ydc2.yale.edu/canvas/KIYN-04-49-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18081
http://manifests.ydc2.yale.edu/canvas/KIYN-04-51-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18091
http://manifests.ydc2.yale.edu/canvas/KIYN-04-52-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18096
http://manifests.ydc2.yale.edu/canvas/KIYN-05-04-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18121
http://manifests.ydc2.yale.edu/canvas/KIYN-05-07-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18136
http://manifests.ydc2.yale.edu/canvas/KIYN-05-08-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18141
http://manifests.ydc2.yale.edu/canvas/KIYN-05-09-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18146
http://manifests.ydc2.yale.edu/canvas/KIYN-05-10-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18151
http://manifests.ydc2.yale.edu/canvas/KIYN-05-13-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18166
http://manifests.ydc2.yale.edu/canvas/KIYN-05-14-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18171
http://manifests.ydc2.yale.edu/canvas/KIYN-05-16-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18181
http://manifests.ydc2.yale.edu/canvas/KIYN-05-18-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18191
http://manifests.ydc2.yale.edu/canvas/KIYN-05-19-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18196
http://manifests.ydc2.yale.edu/canvas/KIYN-05-21-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18206
http://manifests.ydc2.yale.edu/canvas/KIYN-05-23-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18216
http://manifests.ydc2.yale.edu/canvas/KIYN-05-24-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18221
http://manifests.ydc2.yale.edu/canvas/KIYN-05-26-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18231
http://manifests.ydc2.yale.edu/canvas/KIYN-05-27-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18236
http://manifests.ydc2.yale.edu/canvas/KIYN-05-28-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18241
http://manifests.ydc2.yale.edu/canvas/KIYN-05-31-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18256
http://manifests.ydc2.yale.edu/canvas/KIYN-05-32-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18261
http://manifests.ydc2.yale.edu/canvas/KIYN-05-33-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18266
http://manifests.ydc2.yale.edu/canvas/KIYN-05-34-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18271
http://manifests.ydc2.yale.edu/canvas/KIYN-05-35-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18276
http://manifests.ydc2.yale.edu/canvas/KIYN-05-36-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18281
http://manifests.ydc2.yale.edu/canvas/KIYN-05-37-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18286
http://manifests.ydc2.yale.edu/canvas/KIYN-05-38-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18291
http://manifests.ydc2.yale.edu/canvas/KIYN-05-39-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18296
http://manifests.ydc2.yale.edu/canvas/KIYN-05-43-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18316
http://manifests.ydc2.yale.edu/canvas/KIYN-05-44-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18321
http://manifests.ydc2.yale.edu/canvas/KIYN-05-45-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18326
http://manifests.ydc2.yale.edu/canvas/KIYN-05-46-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18331
http://manifests.ydc2.yale.edu/canvas/KIYN-06-05-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18356
http://manifests.ydc2.yale.edu/canvas/KIYN-06-08-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18371
http://manifests.ydc2.yale.edu/canvas/KIYN-06-10-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18381
http://manifests.ydc2.yale.edu/canvas/KIYN-06-12-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18391
http://manifests.ydc2.yale.edu/canvas/KIYN-06-13-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18396
http://manifests.ydc2.yale.edu/canvas/KIYN-06-14-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18401
http://manifests.ydc2.yale.edu/canvas/KIYN-06-15-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18406
http://manifests.ydc2.yale.edu/canvas/KIYN-06-16-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18411
http://manifests.ydc2.yale.edu/canvas/KIYN-06-17-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18416
http://manifests.ydc2.yale.edu/canvas/KIYN-06-18-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18421
http://manifests.ydc2.yale.edu/canvas/KIYN-06-19-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18426
http://manifests.ydc2.yale.edu/canvas/KIYN-06-20-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18431
http://manifests.ydc2.yale.edu/canvas/KIYN-06-21-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18436
http://manifests.ydc2.yale.edu/canvas/KIYN-06-22-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18441
http://manifests.ydc2.yale.edu/canvas/KIYN-06-23-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18446
http://manifests.ydc2.yale.edu/canvas/KIYN-06-24-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18451
http://manifests.ydc2.yale.edu/canvas/KIYN-06-25-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18456
http://manifests.ydc2.yale.edu/canvas/KIYN-06-26-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18461
http://manifests.ydc2.yale.edu/canvas/KIYN-06-27-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18466
http://manifests.ydc2.yale.edu/canvas/KIYN-06-28-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18471
http://manifests.ydc2.yale.edu/canvas/KIYN-06-29-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18476
http://manifests.ydc2.yale.edu/canvas/KIYN-06-30-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18481
http://manifests.ydc2.yale.edu/canvas/KIYN-06-33-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18496
http://manifests.ydc2.yale.edu/canvas/KIYN-06-34-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18501
http://manifests.ydc2.yale.edu/canvas/KIYN-06-35-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18506
http://manifests.ydc2.yale.edu/canvas/KIYN-06-36-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18511
http://manifests.ydc2.yale.edu/canvas/KIYN-06-41-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18536
http://manifests.ydc2.yale.edu/canvas/KIYN-06-43-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18546
http://manifests.ydc2.yale.edu/canvas/KIYN-06-45-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18556
http://manifests.ydc2.yale.edu/canvas/KIYN-06-47-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/18566
