Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,,,,,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
A,18,,སྔགས་ལྡན་ཐ་མ་ཡི་ནི་ཁུར་ལོང་སྟེ། །དཀའ་ཐུབ་ནགས་སུ་མ་ཐོགས་ང་སྐྱོལ་ཞིག,"""Kanthaka, I beg one last favor of you: take me without delay to the Ascetics' Forest! ",,,,,11a.6,,
A,18,,།བྱང་ཆུབ་ཐོབ་ནས་མྱུར་དུ་འགྲོ་བ་ཀུན། །བསམ་གཏན་རྣམ་ཐར་ཆར་ཀྱི་ཚིམ་པར་བྱ།,"Once Awakening has been attained, through the liberating rains of contemplation, I will shower [all good things] on all beings."" ",,,,,11a.6,,
A,18,,།ཞེས་གསུངས་པས་རྣལ་དུ་འདུག་པ་ན་དེ་ལ་སྒ་བསྟད་དོ།,The stallion then stood still and allowed Siddhartha to fix on the bridle.,,,,,11a.7,,
A,18,,།དེ་ནས་བརྒྱ་བྱིན་གྱིས་ལྷའི་བུ་འགྲམ་དང་།  ཉེ་འགྲམ་དང་།  ལོ་མ་དང་།  ལོ་མ་གྱོན་པ་སྟེ་ལྷའི་གྱད་བཞི་སྤྱན་འདྲེན་པར་བསྐོས་སོ།,"Indra summoned four young champions of the world of the gods, Tira ('Gram), Upatira (Nye 'gram), Parna (Lo ma), and Parna-paridhita (Lo ma gyon pa).",,,,,11a.7-11b.1,,
A,18,,།བྱང་ཆུབ་སེམས་དཔས་དེ་དག་གི་སྟོབས་དྲིས་པ་ན།,"To the Bodhisattva, who was curious to have proof of their strength, the god of gods proudly declared:",,,,,11b.1,,
A,18,,དེ་དག་རིམ་པས་ས་གཞི་ཆེན་པོ་དང་།,"""These athletes are capable of both lifting and carrying the earth itself,",,,,,11b.1-2,,
A,18,,རྒྱ་མཚོ་ཆེན་པོ་བཞི་དང་།,"including the four oceans,",,,,,11b.2,,
A,18,,ས་ལ་གནས་པའི་རི་ཐམས་ཅད་དང་།,"the mountain ranges,",,,,,11b.3,,
A,18,,ཙྭ་དང་ཤིང་ཐམས་ཅད་ཁུར་དུ་ཐོགས་པར་ནུས་ཞེས་སོ།,"and all the trees and plants on it.""",,,,,11b.3-4,,
A,18,,།དེ་ནས་བྱང་ཆུབ་སེམས་དཔའི་ཞབས་ས་ལ་བཞག་པ་དེ་བཞི་ཆར་གྱིས་སྟོབས་བསྐྱེད་ཀྱང་སྒུལ་བར་མ་ནུས་ནས་,"The Bodhisattva then placed his foot firmly upon the ground but the four champions, pulling together and with all their might, could not make him budge.",,,,,11b.4,,
A,18,,ངོ་མཚར་ཆེར་སྐྱེས་སོ།,They felt utterly astonished by this.,,,,,11b.4,,
A,18,,།དེ་ལྟ་བུ་མཐོང་ཞིང་ཐོས་ནས་འདུན་པ་ཡང་ངོ་མཚར་སྐྱེས་ཏེ་,"The wonder of it all spread to Chandaka, who had been watching.",,,,,11b.5,,
A,18,,དྲུང་དུ་འོངས།,He approached his master. ,,,,,11b.5,,
A,18,,བྱང་ཆུབ་སེམས་དཔའ་སྔགས་ལྡན་ལ་ཆིབས།  མདུན་པ་ཡང་ཆིབས་རྒྱབ་ཏུ་བསྐྱོན་ནས་,The Bodhisattva swung into the saddle and pulled the equerry up behind him.,,,,,11b.5-6,,
A,18,,་ལྷ་རྣམས་ཀྱི་མཐུས་དང་སྔགས་ལྡན་སྟེང་གི་ནམ་མཁའ་ལ་མངོན་པར་འཕགས་པ་ན།,"When the four gods lifted the horse up into the sky,",,,,,11b.6,,
